00-root.markdown,d4/dbc/00-root_8markdown.html
aclrtFreeWarpper,d2/dcf/namespacecv_1_1cann.html#a18f95e78557adafc6cbe34fea2e415e1
aclrtMallocWarpper,d2/dcf/namespacecv_1_1cann.html#a99862e0258d9aa9a839eb54e45b87bba
aclrtMemcpy2dWarpper,d2/dcf/namespacecv_1_1cann.html#a3c20e54ed7387d0bad8db1962cd05bc2
aclrtmemcpy2dwarpper,d2/dcf/namespacecv_1_1cann.html#affd36394eedbaedc24a51ef1acf2577b
aclrtmemcpywarpper,d2/dcf/namespacecv_1_1cann.html#ab3799f3373f27a5f1531fb637404e6e6
aclrtMemcpyWarpper,d2/dcf/namespacecv_1_1cann.html#affc354bf67ba538722c77c786dfae411
aclrtMemsetWarpper,d2/dcf/namespacecv_1_1cann.html#a7a758115c92d052b057bd0af59d07ee0
acos,da/d4a/classcv_1_1Quat.html#a9506a941536706839425f4dbcf8c3a70
acos,da/d4a/classcv_1_1Quat.html#ad237ff30b6014b1f2f0e4fe10bcd2eaa
acos_,df/dfc/group__cudev.html#ga9cded1491fa5e202ad4977ccc18cadb7
acos_func,de/dae/structcv_1_1cudev_1_1acos__func.html
acosh,da/d4a/classcv_1_1Quat.html#a8e9ffeae6fc42e0aa220925b9c00db7c
acosh_,df/dfc/group__cudev.html#ga0764969ccaefb9a2776afb92fafc8f9d
acosh,df/dfc/group__cudev.html#gab64811072fda64b647ff7ad62da23690
acosh_func,da/d97/structcv_1_1cudev_1_1acosh__func.html
AcoshLayer,d6/dca/classcv_1_1dnn_1_1AcoshLayer.html
AcosLayer,d5/daa/classcv_1_1dnn_1_1AcosLayer.html
acrossChannels,d4/db5/classcv_1_1dnn_1_1MVNLayer.html#a0645112095a698c422d68865ac998a8b
acrossSpatial,dc/df8/classcv_1_1dnn_1_1NormalizeBBoxLayer.html#a059aea81d1937f7de5a4f19625097940
Action,d3/d06/classcv_1_1viz_1_1KeyboardEvent.html#a1fe59c8e882f412666a89beae3b755d2
action,d3/d06/classcv_1_1viz_1_1KeyboardEvent.html#a6397bf651511d452f26a700df2df7381
action,d4/da1/structcv_1_1datasets_1_1HPE__humanevaObj.html#af5617396d9a6bb21d2318079be03a30c
actionType,d9/db7/group__datasets__gr.html#ga610754124ced68d1f05760b5948fbb76
activateContoursProcessing,dc/d54/classcv_1_1bioinspired_1_1Retina.html#a1e109acc73714943702572866487965b
activateMovingContoursProcessing,dc/d54/classcv_1_1bioinspired_1_1Retina.html#afe65e21f82b421cf468e225b3cd61322
ActivationFunctions,d0/dce/classcv_1_1ml_1_1ANN__MLP.html#ade71470ec8814021728f8b31b09773b0
ActivationLayer,dc/d75/classcv_1_1dnn_1_1ActivationLayer.html
ActivationLayerInt8,da/d37/classcv_1_1dnn_1_1ActivationLayerInt8.html
activeDatasetID,d8/d1c/classcv_1_1datasets_1_1TRACK__alov.html#a59e43f07e3e387fe83df901f74eec489
activedatasetid,dc/d52/classcv_1_1datasets_1_1TRACK__vot.html#ad7a5f201d78df9b2dd0bdeb14eedea46
a,d1/d10/classcv_1_1MatExpr.html#afedc79d4d837bced7282ef1023e72299
Adapter,d0/d46/classcv_1_1RMat.html#a0b380f8e42972aa26753c5a07623684d
AdapterP,d0/d46/classcv_1_1RMat.html#ab87e4b32f26d237b4bb869609f9aaa23
AdapterPtr,d5/d21/classcv_1_1MediaFrame.html#a2f7d7e382b45223f9153186b149a066c
Adaptive,d0/d61/group__cudacodec.html#gga6c02a3afe6fcceabf1b1dc644596583ca517831608e0d07a287951819b8a4dd94
AdaptiveManifoldFilter,de/db7/classcv_1_1ximgproc_1_1AdaptiveManifoldFilter.html
adaptivethreshconstant,d0/d22/structcv_1_1mcc_1_1DetectorParameters.html#a46bf622f2c0d1ba0e451e92e06ae6d85
adaptiveThreshConstant,d1/dcd/structcv_1_1aruco_1_1DetectorParameters.html#aef7291f7771315af9726eafacb7fc955
ADAPTIVE_THRESH_GAUSSIAN_C,d7/d1b/group__imgproc__misc.html#ggaa42a3e6ef26247da787bf34030ed772caf262a01e7a3f112bbab4e8d8e28182dd
ADAPTIVE_THRESH_MEAN_C,d7/d1b/group__imgproc__misc.html#ggaa42a3e6ef26247da787bf34030ed772cad0c5199ae8637a6b195062fea4789fa9
adaptiveThreshold,d7/d1b/group__imgproc__misc.html#ga72b913f352e4a1b1b397736707afcde3
AdaptiveThresholdTypes,d7/d1b/group__imgproc__misc.html#gaa42a3e6ef26247da787bf34030ed772c
adaptivethreshwinsizemax,d1/dcd/structcv_1_1aruco_1_1DetectorParameters.html#ac17bfce78d75a1e8be8657067a974275
adaptiveThreshWinSizeMax,d1/dcd/structcv_1_1aruco_1_1DetectorParameters.html#ac17bfce78d75a1e8be8657067a974275
adaptivethreshwinsizemin,d0/d22/structcv_1_1mcc_1_1DetectorParameters.html#a5b59c765474062754056bbd9e664ee33
adaptiveThreshWinSizeMin,d1/dcd/structcv_1_1aruco_1_1DetectorParameters.html#ac430a508ab62b3ebabd2552b29ea0424
adaptivethreshwinsizestep,d5/dae/tutorial_aruco_detection.html#autotoc_md1059
adaptiveThreshWinSizeStep,d5/dae/tutorial_aruco_detection.html#autotoc_md1067
a,db/d26/structcv_1_1face_1_1FacemarkAAM_1_1Model_1_1Texture.html#ad3a509225c1d35965f0a0dd3b36847b6
A,db/d26/structcv_1_1face_1_1FacemarkAAM_1_1Model_1_1Texture.html#ad3a509225c1d35965f0a0dd3b36847b6
add16s,d3/ddd/group__core__hal__functions.html#ga575d22516b5a1b937d5fefdd9e3cb991
add16u,d3/ddd/group__core__hal__functions.html#ga8787d7ffbc867e3b9a4158b4540d55b3
add32f,d3/ddd/group__core__hal__functions.html#ga1d8757d450d3dff55b1d1c0808bb17c3
add32s,d3/ddd/group__core__hal__functions.html#ga84ed1c0f7bb24f1f1f7ba782f5357b94
add64f,d3/ddd/group__core__hal__functions.html#ga0b998375de19b552d6e8edfce94d0f73
add8s,d3/ddd/group__core__hal__functions.html#gada32f4dccdbcd9bdd8e6903641047ec7
add8u,d3/ddd/group__core__hal__functions.html#ga7a51b6af89b3259f9b95de719448f8fb
addAttr,dc/d09/classcv_1_1cann_1_1OperatorRunner.html#a3b7b610cfc2537c2cee1f154c8c608cd
addattr,dc/d09/classcv_1_1cann_1_1OperatorRunner.html#a827ac57c7fd1ebe35561c91b98f63e65
addC,da/dd3/group__gapi__math.html#ga8b5f4be4cb0e2b52b03778fafddd0819
addc,da/dd3/group__gapi__math.html#gab51408fdde1ec0a5d4fe5123826180ce
addChild,d3/de3/classcv_1_1Node.html#aa5bc8ddf2446eb002ec5d87ba33c4a33
addcloud,de/d47/classcv_1_1viz_1_1WCloudCollection.html#a068ce6f250ee885ffc719dc7bc7c3eb2
addCloud,de/d47/classcv_1_1viz_1_1WCloudCollection.html#a1ba9d7eaee7105a0bbc11a3a9a46b3bc
add,d1/d9d/classcv_1_1MatOp.html#afc3f8e10e50175134dce2bde93049f63
add,da/dd3/group__gapi__math.html#ga3fec036f5cf3f6cb8c2633c109085f0b
addedDescCount,dc/de2/classcv_1_1FlannBasedMatcher.html#a8854dcad3e17bab50c39f60ddff76d21
addedge,dc/d4c/classcv_1_1detail_1_1Graph.html#ab71aed62d6713b3dc9c2833a42686fdc
addEdge,dc/d4c/classcv_1_1detail_1_1Graph.html#ab71aed62d6713b3dc9c2833a42686fdc
addGraphSegmentation,d6/d6d/classcv_1_1ximgproc_1_1segmentation_1_1SelectiveSearchSegmentation.html#aaa30b815e0d0766096e1726eca58123a
addImage,d6/d6d/classcv_1_1ximgproc_1_1segmentation_1_1SelectiveSearchSegmentation.html#a96fc0aff0ec6960d948eb4e82082e9ab
adding_images.markdown,d3/dd6/adding__images_8markdown.html
addinput,d3/d81/classcv_1_1cann_1_1DvppOperatorDesc.html#ab54ca4db0b5024925ddc5c0469b588bb
addInput,dc/d09/classcv_1_1cann_1_1OperatorRunner.html#a915537a2e98b926fcab9d251e3d3ce97
Addition,d0/d86/tutorial_py_image_arithmetics.html#autotoc_md1201
addition,dd/d4d/tutorial_js_image_arithmetics.html#autotoc_md1580
addlayer,db/d30/classcv_1_1dnn_1_1Net.html#a9717eaecdcb24f22fac10c5033774416
addLayer,db/d30/classcv_1_1dnn_1_1Net.html#a9717eaecdcb24f22fac10c5033774416
addlayertoprev,db/d30/classcv_1_1dnn_1_1Net.html#a660b8a057aeac02ea5c9576d107ca2a2
addLayerToPrev,db/d30/classcv_1_1dnn_1_1Net.html#a660b8a057aeac02ea5c9576d107ca2a2
addLight,d6/d32/classcv_1_1viz_1_1Viz3d.html#a922ad46fd0dfa0b9c2612f7d06fad59e
addNode,d1/d86/classcv_1_1kinfu_1_1detail_1_1PoseGraph.html#a86d5218a6e3bc53441c4ef799ee6334a
addNoisePC,d9/d25/group__surface__matching.html#ga7ba92c6b7cb6cc7565c2c038ddc88bbb
addObject,db/de9/classcv_1_1DetectionBasedTracker.html#a91602bf61863fc3126be05a0d3e5416b
addoutput,dc/d09/classcv_1_1cann_1_1OperatorRunner.html#ac42c811dfc690d7653af273d31f54654
addOutput,dc/d09/classcv_1_1cann_1_1OperatorRunner.html#ac42c811dfc690d7653af273d31f54654
addPose,d2/d4b/classcv_1_1ppf__match__3d_1_1PoseCluster3D.html#a8926142dbba868d9572102ee72c24e29
addref,d3/d63/classcv_1_1Mat.html#a9d3794250e3dc39714f980b4d0d45864
addResourceLocation,d2/d17/group__ovis.html#ga8307b17279db18ca2ec0e5338fa7e64a
addressBits,d7/d9f/classcv_1_1ocl_1_1Device.html#a029eb84f52db258b2abf2a00629853f6
address,d3/d3f/classcv_1_1Allocator.html#a9a720167baaf8bf862fdf788add08665
addRNGBias32f,d3/ddd/group__core__hal__functions.html#ga11d91cae9fe70372c3dfc6ae61915830
addRNGBias64f,d3/ddd/group__core__hal__functions.html#gac51f612c2a482d6a0108bbe2b6a50ca6
addSamplesDataSearchPath,d6/dba/group__core__utils__samples.html#gae7a49fd5761f8abbe754993e328ea84f
addSamplesDataSearchSubDirectory,d6/dba/group__core__utils__samples.html#gaa54838b2113b79689df232c190de969e
addstrategy,d6/d6d/classcv_1_1ximgproc_1_1segmentation_1_1SelectiveSearchSegmentation.html#a53c44312781ded2945c4abb1aa650351
addStrategy,d8/d8e/classcv_1_1ximgproc_1_1segmentation_1_1SelectiveSearchSegmentationStrategyMultiple.html#a2d84abcfc2cd6dc6e06522c3461a4369
addSyntheticTemplate,d7/d07/classcv_1_1linemod_1_1Detector.html#a76f27a64efe1de3d85cac6f73401c490
addTarget,d8/d45/classcv_1_1legacy_1_1MultiTracker__Alt.html#a10569f68a7b4b4ef8f7fd16a92191765
addTemplate,d7/d07/classcv_1_1linemod_1_1Detector.html#ab6baf396cefd388bcea8eb088487aeb0
addTensorHolder,d7/dcc/classcv_1_1cann_1_1AscendStream.html#afa7c2d7c54965de27c0380c43a0296a3
addtensorholder,dd/d9e/classcv_1_1cann_1_1AscendStream_1_1Impl.html#ac31361a381e4387b3a25aeb073d07dd5
AddTensorHolder,dd/d9e/classcv_1_1cann_1_1AscendStream_1_1Impl.html#ac31361a381e4387b3a25aeb073d07dd5
addtext,dc/d46/group__highgui__qt.html#ga4e2751b94f709c848f0658d78007e449
addText,dc/d46/group__highgui__qt.html#ga4e2751b94f709c848f0658d78007e449
addtrackerfeature,df/da4/classcv_1_1detail_1_1tracking_1_1TrackerFeatureSet.html#ab5c43e444882aeca19a36897fc486e34
addTrackerFeature,df/da4/classcv_1_1detail_1_1tracking_1_1TrackerFeatureSet.html#ab5c43e444882aeca19a36897fc486e34
addtrackersampleralgorithm,dc/d24/classcv_1_1detail_1_1tracking_1_1TrackerSampler.html#a3cb3ef58ed7cd4d2637806053f5a0c46
addTrackerSamplerAlgorithm,dc/d24/classcv_1_1detail_1_1tracking_1_1TrackerSampler.html#a3cb3ef58ed7cd4d2637806053f5a0c46
addTrainingSample,d3/d81/classcv_1_1face_1_1FacemarkTrain.html#af643d862d8369143a7241767a1c10257
addView,dc/d92/classcv_1_1gapi_1_1fluid_1_1Buffer.html#aa4f52f368f2c33c2a93f641269d1baa9
addWeighted16s,d3/ddd/group__core__hal__functions.html#gafca0f3d217cd99e0076225f36198d67d
addWeighted16u,d3/ddd/group__core__hal__functions.html#ga78d01fafd0086948a468c1f9a8acc225
addWeighted32f,d3/ddd/group__core__hal__functions.html#ga813efb858941c477501b3b9e3ccb6e03
addWeighted32s,d3/ddd/group__core__hal__functions.html#ga81315809ac5fc2fb91f403c0e9bf9f2c
addWeighted64f,d3/ddd/group__core__hal__functions.html#ga818ccab35160e627c3d0b72aa7adf490
addWeighted8s,d3/ddd/group__core__hal__functions.html#gaa83a019ec9d2a71a4e97efa0f5045e6d
addWeighted8u,d3/ddd/group__core__hal__functions.html#gab5189f195b48e31675327ad4af3c05a4
addWeighted,d2/de8/group__core__array.html#gafafb2513349db3bcff51f54ee5592a19
addweighted,d5/d2b/group__cannops__elem.html#ga4d9913d767fc04aec7fba55f58e272dc
addWidget,df/d97/classcv_1_1viz_1_1WWidgetMerger.html#a00821c90929dfd08d85d49bfbc0a5c89
addWithScalar,d8/d34/group__cudaarithm__elem.html#gac292d74f29e14b4ba86c6cdeffd59c25
Adience,de/d93/group__datasets__fr.html#autotoc_md32
adjustLayoutToInterfaceOrientation:,db/da9/interfaceCvVideoCamera.html#a19344be0c1823dd18dea70f5ae1c2f0d
adjustments,d3/dc1/tutorial_basic_linear_transform.html#autotoc_md263
adjustments,d3/dc1/tutorial_basic_linear_transform.html#autotoc_md273
adjustPad,d5/d1f/classcv_1_1dnn_1_1BaseConvolutionLayer.html#a5cb93bf1ee32d695e5162d8ab27584d1
adjust_pads,d5/d1f/classcv_1_1dnn_1_1BaseConvolutionLayer.html#a9d3e0b03824019a475737a8877c118e0
adjustROI,d0/d60/classcv_1_1cuda_1_1GpuMat.html#a6cdd55bdc067e64e693929f9c290017b
adjustroi,d3/d1c/classcv_1_1cudev_1_1GpuMat__.html#a15372fb2aff373c0dcf5d7cfb3993f8b
admm_iterations,d3/de9/structcv_1_1TrackerCSRT_1_1Params.html#a9b38f780c57ff151038272534bb585bb
Affine3d,d0/daf/group__core__eigen.html#ga0b49177f52ed1b43e3f5a198baeee203
Affine3d,d0/de1/group__core.html#ga0b49177f52ed1b43e3f5a198baeee203
Affine3,dd/d99/classcv_1_1Affine3.html
affine3,dd/d99/classcv_1_1Affine3.html#a116afdeed21ac6a341033ff38a01b4a2
Affine3f,d0/daf/group__core__eigen.html#gae10a81cba3f3232648be48e28759a7bc
Affine3f,d0/de1/group__core.html#gae10a81cba3f3232648be48e28759a7bc
affinebasedestimator,d0/df2/classcv_1_1detail_1_1AffineBasedEstimator.html
AffineBasedEstimator,d0/df2/classcv_1_1detail_1_1AffineBasedEstimator.html
affinebestof2nearestmatcher,d3/dda/classcv_1_1detail_1_1AffineBestOf2NearestMatcher.html
AffineBestOf2NearestMatcher,d3/dda/classcv_1_1detail_1_1AffineBestOf2NearestMatcher.html
AffineDescriptorExtractor,d5/d51/group__features2d__main.html#ga4f0293a04ea11fcea03746edd6781232
AffineFeature2D,d4/db2/classcv_1_1xfeatures2d_1_1AffineFeature2D.html
AffineFeature,da/d0b/classcv_1_1AffineFeature.html
AffineFeatureDetector,d5/d51/group__features2d__main.html#ga94d7dadbe8de971eeed19b8fd25e357e
affine.hpp,de/d48/affine_8hpp.html
affineMap,df/dfc/group__cudev.html#gadd9331786dac6937d97e77e929e9fc19
AffineMapPtr,d0/d2a/structcv_1_1cudev_1_1AffineMapPtr.html
AffineMapPtrSz,dc/dd4/structcv_1_1cudev_1_1AffineMapPtrSz.html
AffineTransformer,dc/d83/classcv_1_1AffineTransformer.html
AffineWarper,d4/dd7/classcv_1_1AffineWarper.html
affinewarper,dd/d76/classcv_1_1detail_1_1AffineWarper.html#a579d8f21ca8ef2e7b68c7c3fe04445a9
aff_thr_fast,d7/d92/structcv_1_1detail_1_1tracking_1_1tbm_1_1TrackerParams.html#ad1e7150d96769c63aeb8c183b3f82cc5
aff_thr_strong,d7/d92/structcv_1_1detail_1_1tracking_1_1tbm_1_1TrackerParams.html#ab5fa4e8e83e067bcc1046691b28b5778
AGAST_5_8,d7/d19/classcv_1_1AgastFeatureDetector.html#ae9a22560b2cc9c99b3a3de82ac4af7d3a869159c4b4ad44e678903b55def5dff9
AGAST_7_12d,d7/d19/classcv_1_1AgastFeatureDetector.html#ae9a22560b2cc9c99b3a3de82ac4af7d3a0a21d49a821004ebc1f39e2e471ba814
AGAST_7_12s,d7/d19/classcv_1_1AgastFeatureDetector.html#ae9a22560b2cc9c99b3a3de82ac4af7d3a37001a3a3ce04301e16a4e16732e4105
agast,d5/d51/group__features2d__main.html#gaf7e1ba1ae884b59bd24338b741b0c4ac
AGAST,d5/d51/group__features2d__main.html#gaf7e1ba1ae884b59bd24338b741b0c4ac
AgastFeatureDetector,d7/d19/classcv_1_1AgastFeatureDetector.html
age,d6/deb/structcv_1_1datasets_1_1FR__adienceObj.html#a7824fb56214d97549273dae0e1f20cfe
AKAZE,d8/d30/classcv_1_1AKAZE.html
akaze_matching.markdown,de/dc7/akaze__matching_8markdown.html
akaze_tracking.markdown,da/d4b/akaze__tracking_8markdown.html
ALGO_HINT_ACCURATE,db/de0/group__core__utils.html#ggafeab8763db9cdb68a6c20353efe0e9dea7cf203d987a7264ad517ecf534c12513
ALGO_HINT_APPROX,db/de0/group__core__utils.html#ggafeab8763db9cdb68a6c20353efe0e9deafe1df7ea846bd794a67bc93bf8c834cc
ALGO_HINT_DEFAULT,db/de0/group__core__utils.html#ggafeab8763db9cdb68a6c20353efe0e9dea66fafe04e935b03139886c5505b0af46
Algorithm,d3/d46/classcv_1_1Algorithm.html
algorithm,d3/d46/classcv_1_1Algorithm.html#a827c8b2781ed17574805f373e6054ff1
~Algorithm,d3/d46/classcv_1_1Algorithm.html#a8ae826127fa0f1f8d10a24841bd376f8
algorithm,d4/d48/tutorial_gapi_face_beautification.html#gapi_fb_algorithm
ALGORITHM,dc/d84/group__core__basic.html#gga8af2ae1e077644d1dd232d29d988b79aacc42f38c94fd1898b9e8a14132d94261
AlgorithmHint,db/de0/group__core__utils.html#gafeab8763db9cdb68a6c20353efe0e9de
Algorithms,d7/d7a/group__xfeatures2d__experiment.html
algorithms,de/daa/group__xphoto.html
alignCrop,da/d09/classcv_1_1FaceRecognizerSF.html#a84492908abecbc9362b4ddc8d46b8345
AlignExposures,d4/df2/classcv_1_1AlignExposures.html
alignment,da/df8/classINCVMemAllocator.html#a22bbeb73256c4b87069e4fccc217924e
alignment,dc/d18/classNCVMemNativeAllocator.html#a94fe530e7467669889e68815a4d0f35f
AlignMTB,d7/db6/classcv_1_1AlignMTB.html
alignPtr,db/de0/group__core__utils.html#ga7d7b007312be535012cdbd6f45037399
alignSize,db/de0/group__core__utils.html#gaf2ff8f837e7a44f288b050765492f800
alignUp,d5/dc3/group__cudalegacy.html#ga2276f3c6846b8eea554dea05a4f39664
all,d7/d59/structcv_1_1cudev_1_1VecTraits_3_01short4_01_4.html#a674ed3369b1e709ee228cd4624e250bb
all,de/de1/classcv_1_1Matx.html#a97b07e79db772737ef23e5c019397959
all_indices.h,d0/deb/all__indices_8h.html
all_layers.hpp,dd/d6b/all__layers_8hpp.html
allocate,df/d4c/classcv_1_1MatAllocator.html#aa9597dbe72d22de42c0a0d4e9e37ab84
allocate,df/d98/classcv_1_1cuda_1_1GpuMat_1_1Allocator.html#aaae55175c4bcd6485928b68dde3f2730
allocatorContext,db/d58/structcv_1_1UMatData.html#a02c6b0ae16a63d3b9db6c0d2bdea8b9e
allocator,d0/d60/classcv_1_1cuda_1_1GpuMat.html#a1dc1f7a23c89d2a36f0efc7db1b0d5a4
Allocator,d3/d3f/classcv_1_1Allocator.html
allocator,df/d98/classcv_1_1cuda_1_1GpuMat_1_1Allocator.html
~allocator,df/d98/classcv_1_1cuda_1_1GpuMat_1_1Allocator.html#aa00bd0897eb90754fdce893dfd0bcf29
~Allocator,df/d98/classcv_1_1cuda_1_1GpuMat_1_1Allocator.html#aa00bd0897eb90754fdce893dfd0bcf29
allocatorFlags_,db/d58/structcv_1_1UMatData.html#a398a4153df8d1af5fd5a26996d1b4684
allocator.h,da/da9/allocator_8h.html
allocatorstatisticsinterface,df/d6f/classcv_1_1utils_1_1AllocatorStatisticsInterface.html
AllocatorStatisticsInterface,df/d6f/classcv_1_1utils_1_1AllocatorStatisticsInterface.html
~AllocatorStatisticsInterface,df/d6f/classcv_1_1utils_1_1AllocatorStatisticsInterface.html#af12f632f7fe66b5a6e251b21e26a256a
allocator_stats.hpp,de/da8/allocator__stats_8hpp.html
alloc,da/df8/classINCVMemAllocator.html#a4b1432cac3a276d4ae3e98cce84484ca
alloc,dc/d18/classNCVMemNativeAllocator.html#a5f9fc6b038d5358d70ee45c4877e1e65
AllocType,d0/d44/classcv_1_1cuda_1_1HostMem.html#aa0d69b2aa95680a6b2af6dc4dda44e16
alloc_type,d0/d44/classcv_1_1cuda_1_1HostMem.html#adafb6e996e9e7a0d6c4696b6a186600e
allowFrameDrop,dd/d7d/structcv_1_1cudacodec_1_1VideoReaderInitParams.html#a9b73352d9bc1a23ccf3bf06517f978c7
alpha1,de/def/structcv_1_1cuda_1_1FGDParams.html#a6a2d268e500d32574ed00ff4da454f07
alpha2,de/def/structcv_1_1cuda_1_1FGDParams.html#abaf4902f6c9be62f8580e7800242019d
alpha3,de/def/structcv_1_1cuda_1_1FGDParams.html#a8d81aaed6cc97471c18946dd152a1e06
ALPHA_ATOP,db/d8c/group__cudaimgproc__color.html#gga320de8db3b0d8624e9b92fc6b117b694a772a10e83016004a48a40abf5303f396
ALPHA_ATOP_PREMUL,db/d8c/group__cudaimgproc__color.html#gga320de8db3b0d8624e9b92fc6b117b694aa583c173fb8c3c0d97a2b18d7a474d40
alphaComp,db/d8c/group__cudaimgproc__color.html#ga08a698700458d9311390997b57fbf8dc
AlphaCompTypes,db/d8c/group__cudaimgproc__color.html#ga320de8db3b0d8624e9b92fc6b117b694
alpha,d1/d10/classcv_1_1MatExpr.html#ad15093b928c0af84cc1e88179ef4d638
alpha,df/da5/classcv_1_1dnn_1_1ELULayer.html#a17d57531b3b20fae3628c93735ec1252
ALPHA_IN,db/d8c/group__cudaimgproc__color.html#gga320de8db3b0d8624e9b92fc6b117b694a715019460703f11c2ad2fce0f699651d
ALPHA_IN_PREMUL,db/d8c/group__cudaimgproc__color.html#gga320de8db3b0d8624e9b92fc6b117b694a9c80438eea06fc1e3d1c36dd89afad4a
alphamat,d8/de8/namespacecv_1_1alphamat.html
alphamat.hpp,d7/da5/alphamat_8hpp.html
